reward,loss,terminated,truncated,duration
85.0,144.73933838845875,False,True,529.2402148246765
86.0,103.09277484161116,False,True,530.356992483139
127.0,135.66183101533454,False,True,527.958046913147
77.0,104.69596993945792,False,True,529.5618617534637
140.0,162.77630610301492,False,True,531.1528215408325
148.0,156.6592231523879,False,True,527.9657468795776
140.0,205.3407575336117,False,True,594.8895273208618
140.0,163.27926963283969,False,True,602.0717401504517
128.0,158.40801545989495,False,True,553.5685307979584
101.0,98.85665697269827,False,True,528.375501871109
180.0,199.797716555728,True,False,498.9213907718658
144.0,501.35113787636686,False,True,539.208681344986
102.0,146.49740034189074,True,False,348.19826793670654
126.0,586.2836578063132,False,True,538.9824678897858
90.0,169.8109031072892,False,True,539.3420751094818
120.0,187.26269246837285,True,False,408.1032116413117
138.0,467.6944637229229,False,True,540.3126857280731
143.0,258.99420585833786,False,True,543.8970632553101
177.0,274.3465151611859,False,True,539.3905754089355
113.0,180.93803605947824,False,True,541.210286617279
134.0,153.77405488510774,False,True,544.0505287647247
155.0,166.58485207499646,False,True,542.8076069355011
126.0,259.3167445794467,False,True,542.6540288925171
200.0,318.19402919547224,False,True,543.8601071834564
141.0,179.7077480021395,False,True,539.2864601612091
172.0,275.44731157927504,False,True,527.7860341072083
138.0,216.5002038570996,False,True,525.1657083034515
99.0,152.9673160807424,False,True,541.452100276947
108.0,143.42341527847455,False,True,538.50146651268
199.0,360.11987723946135,False,True,532.9182238578796
167.0,212.9753817861336,False,True,530.8962094783783
127.0,176.42977952724834,False,True,531.4245765209198
175.0,244.02420361166045,False,True,538.0865604877472
134.0,112.26532351989216,True,False,296.59109592437744
83.0,607.7727420218166,False,True,544.9062242507935
154.0,245.95814390387903,False,True,535.9908211231232
126.0,210.03150910653977,False,True,540.0520346164703
131.0,189.0568255678688,False,True,537.4690005779266
123.0,198.8074274057124,False,True,536.2396848201752
167.0,219.48382383639355,False,True,535.7229371070862
133.0,157.7197895784519,False,True,535.5086715221405
154.0,184.0145562597677,False,True,538.9492404460907
132.0,241.58527324202484,False,True,538.3134455680847
110.0,249.5099948949073,False,True,543.3804821968079
154.0,197.9295046426629,False,True,545.0373311042786
212.0,237.50916794011448,True,False,515.6333394050598
156.0,742.1204630680531,False,True,552.0800306797028
151.0,217.56744724520783,False,True,553.2308337688446
203.0,250.59158257736647,False,True,550.6473093032837
128.0,127.11649268468804,True,False,483.4358797073364
108.0,880.9220601837915,False,True,551.7036497592926
120.0,223.39768816857585,False,True,553.8182079792023
147.0,242.59789093336127,False,True,541.433760881424
164.0,238.21123834956063,False,True,543.1154289245605
181.0,330.75630992557024,False,True,540.7805233001709
142.0,236.3273558287704,False,True,556.2738270759583
122.0,189.14145013666305,False,True,550.8256013393402
109.0,148.1336886974067,False,True,554.0061450004578
153.0,202.34224801541475,False,True,556.0683619976044
218.0,315.5841226710234,False,True,558.4862749576569
208.0,307.6212005764421,False,True,550.2259020805359
124.0,155.94179493330256,False,True,415.50475096702576
139.0,168.5932761459263,False,True,344.29808831214905
148.0,175.25193971543723,False,True,517.3263719081879
117.0,125.8032589424398,False,True,466.2348084449768
118.0,163.5554130457346,False,True,469.7311930656433
131.0,116.2211765569876,False,True,591.3996243476868
116.0,155.99127118188613,False,True,527.1583783626556
